"Site Name","Opt-Out Link","CCPA Delete Link","Note"
"familytreenow.com","https://www.familytreenow.com/optout","",""
"truthfinder.com","https://www.truthfinder.com/opt-out/","https://www.truthfinder.com/opt-out/v2/",""
"beenverified.com","https://www.beenverified.com/app/optout/form","https://www.beenverified.com/app/optout/form","For delete, select ""Delete My Information"" under Request Type"
"truepeoplesearch.com","https://www.truepeoplesearch.com/removal","",""
"peoplesearchnow.com","https://www.peoplesearchnow.com/opt-out","",""
"intelius.com","https://www.intelius.com/opt-out/submit/","",""
"fastpeoplesearch.com","https://www.fastpeoplesearch.com/removal","",""
"searchpeoplefree.com","https://www.searchpeoplefree.com/opt-out","",""
"instantcheckmate.com","https://www.instantcheckmate.com/opt-out/","https://www.instantcheckmate.com/opt-out/v2/",""
"ussearch.com","https://www.ussearch.com/opt-out/submit","",""
"peoplefinders.com","https://www.peoplefinders.com/opt-out","",""
"whitepages.com","","https://www.whitepages.com/privacy/ccpa",""
"radaris.com","https://radaris.com/control/privacy","",""
"spokeo.com","https://www.spokeo.com/privacy/control","",""
